	passenger_count	trip_distance	tip_amount	total_amount	tip_percentage
363	1	1.59	2.5	17.8	0.14044943820224717
364	1	1.8	2.66	15.96	0.16666666666666666
365	1	0.7	1.25	9.55	0.13089005235602094
366	1	0.5	0.0	6.8	0.0
367	1	1.75	1.96	11.76	0.16666666666666666
368	1	10.6	9.55	57.39	0.1664052970900854
369	1	2.7	0.0	14.3	0.0
370	5	7.45	0.0	37.34	0.0
371	1	2.12	0.0	13.8	0.0
372	1	2.14	0.0	15.8	0.0
373	1	0.8	1.7	8.5	0.19999999999999998
374	1	7.0	3.0	25.8	0.11627906976744186
375	1	0.5	1.0	6.8	0.14705882352941177
376	1	0.85	1.46	8.76	0.16666666666666666
377	1	0.84	1.95	9.75	0.19999999999999998
378	2	1.1	0.0	8.8	0.0
379	2	16.38	8.0	60.8	0.13157894736842105
380	1	0.77	1.66	9.96	0.16666666666666666
381	1	1.1	3.05	13.35	0.22846441947565543
382	1	1.8	0.0	16.8	0.0
383	1	1.1	1.45	8.75	0.1657142857142857
384	2	10.0	4.0	44.34	0.09021199819576003
385	1	0.7	1.25	7.55	0.16556291390728478
386	5	2.18	0.0	16.3	0.0
387	2	7.8	0.0	24.3	0.0
388	1	0.99	0.0	13.8	0.0
389	1	2.5	0.0	19.3	0.0
390	1	1.28	0.0	8.8	0.0
391	2	3.95	5.26	31.56	0.16666666666666666
392	1	2.24	2.26	13.56	0.16666666666666666
393	1	1.9	3.05	13.35	0.22846441947565543
394	1	1.3	0.0	14.8	0.0
395	2	2.25	0.0	9.3	0.0
396	5	1.22	2.46	14.76	0.16666666666666666
397	1	11.7	11.65	69.95	0.16654753395282346
398	1	2.24	3.16	18.96	0.16666666666666666
399	1	1.38	0.0	11.8	0.0
400	2	1.0	0.0	8.8	0.0
401	2	2.06	0.0	17.8	0.0
402	1	0.7	1.0	12.3	0.08130081300813008
403	1	1.93	2.0	13.3	0.15037593984962405
404	1	6.0	0.0	24.8	0.0
405	5	1.45	2.79	12.09	0.23076923076923078
406	1	2.6	1.0	15.8	0.06329113924050632
407	1	2.6	2.0	19.3	0.10362694300518134
408	2	6.74	5.45	27.25	0.2
409	1	1.2	1.95	11.75	0.16595744680851063
410	6	0.87	0.8	9.1	0.08791208791208792
411	1	3.5	3.07	15.37	0.19973975276512687
412	5	0.38	0.0	5.3	0.0
413	1	10.49	0.0	44.84	0.0
414	1	0.9	1.55	9.35	0.16577540106951874
415	5	0.24	0.86	5.16	0.16666666666666666
416	1	1.06	0.0	7.3	0.0
417	1	1.2	0.0	14.3	0.0
418	2	1.47	0.0	10.8	0.0
419	4	0.8	1.65	9.95	0.1658291457286432
420	2	0.85	2.2	11.0	0.2
421	6	1.05	2.46	14.76	0.16666666666666666
422	1	1.5	2.0	15.3	0.13071895424836602
423	2	1.27	0.0	17.3	0.0
424	1	2.0	2.35	14.15	0.16607773851590107
425	1	2.0	1.0	12.8	0.078125
426	6	12.72	9.66	57.96	0.16666666666666666
427	1	0.8	1.0	8.8	0.11363636363636363
428	1	1.7	0.0	12.8	0.0
429	1	0.52	0.0	5.8	0.0
430	1	0.8	1.55	9.35	0.16577540106951874
431	1	1.33	1.56	9.36	0.16666666666666669
432	1	3.6	2.0	16.3	0.12269938650306748
433	1	0.5	0.0	10.8	0.0
434	3	1.39	0.0	8.8	0.0
435	1	1.3	1.62	12.42	0.13043478260869565
436	1	1.3	0.0	6.8	0.0
437	1	1.51	0.0	12.3	0.0
438	1	2.4	2.76	16.56	0.16666666666666666
439	2	1.46	0.0	12.3	0.0
440	1	0.9	0.0	6.3	0.0
441	1	1.56	1.0	11.3	0.08849557522123894
442	2	1.9	0.0	15.3	0.0
443	6	1.55	2.82	14.12	0.19971671388101983
444	2	6.31	0.0	23.3	0.0
445	6	3.22	0.0	14.3	0.0
446	1	0.9	0.0	7.8	0.0
447	1	12.5	11.58	57.92	0.19993093922651933
448	2	15.25	16.45	71.29	0.23074765044185716
449	1	1.82	1.0	14.3	0.06993006993006992
450	2	1.46	0.0	8.8	0.0
451	1	1.91	0.0	12.3	0.0
452	1	5.5	3.85	23.15	0.16630669546436286
453	1	0.55	1.45	7.25	0.19999999999999998
454	1	2.89	5.45	27.25	0.2
455	1	5.56	7.82	39.12	0.19989775051124747
456	1	1.1	0.0	7.3	0.0
457	1	4.76	23.0	45.3	0.5077262693156733
458	1	1.0	4.0	13.8	0.2898550724637681
459	1	1.1	0.0	7.8	0.0
460	3	2.1	2.75	16.55	0.1661631419939577
461	4	1.1	0.0	10.8	0.0
462	1	1.6	2.25	13.55	0.16605166051660517
463	6	1.78	0.0	11.3	0.0
464	3	0.8	2.35	14.15	0.16607773851590107
465	2	11.16	9.87	59.21	0.1666948150650228
466	1	1.57	1.86	11.16	0.16666666666666669
467	1	1.1	0.0	9.8	0.0
468	1	0.99	1.36	8.16	0.16666666666666669
469	2	1.03	0.0	7.3	0.0
470	1	0.9	0.0	7.3	0.0
471	1	1.6	2.16	12.96	0.16666666666666666
472	1	0.67	0.0	4.8	0.0
473	1	3.5	2.0	24.8	0.08064516129032258
474	1	7.86	4.86	29.16	0.16666666666666669
475	1	1.8	1.0	11.8	0.0847457627118644
476	1	2.2	0.0	15.8	0.0
477	1	1.1	2.7	13.5	0.2
478	2	0.6	1.15	6.95	0.16546762589928055
479	1	2.4	4.55	22.85	0.19912472647702406
480	6	0.95	0.0	7.8	0.0
481	1	8.3	7.45	44.79	0.16633177048448314
482	1	6.8	6.76	40.56	0.16666666666666666
483	1	0.19	1.0	6.8	0.14705882352941177
484	1	1.2	0.0	14.8	0.0
485	1	0.78	0.0	6.3	0.0
486	1	2.23	3.45	17.25	0.2
487	2	0.4	0.95	5.75	0.16521739130434782
488	2	10.99	11.8	51.14	0.2307391474384044
489	1	4.4	0.0	23.3	0.0
490	1	1.06	2.7	13.5	0.2
491	1	0.9	0.5	8.8	0.056818181818181816
492	1	2.2	2.0	18.3	0.1092896174863388
493	1	2.35	3.56	21.36	0.16666666666666669
494	1	2.9	4.35	26.15	0.16634799235181644
495	1	1.26	1.5	13.8	0.10869565217391304
496	2	1.0	1.0	9.8	0.1020408163265306
497	5	2.94	0.0	14.8	0.0
498	3	0.8	0.0	9.8	0.0
499	2	0.4	0.0	5.8	0.0
500	1	1.6	2.0	10.3	0.1941747572815534
501	1	1.8	0.0	14.8	0.0
502	6	2.81	0.0	12.8	0.0
503	1	1.4	2.05	12.35	0.16599190283400808
504	1	4.7	6.7	33.5	0.2
505	1	2.1	0.0	13.8	0.0
506	1	4.11	4.08	20.38	0.20019627085377822
507	1	0.8	1.0	9.3	0.1075268817204301
508	1	0.9	0.0	7.3	0.0
509	1	16.82	5.0	63.34	0.07893905904641617
510	1	1.2	0.0	10.8	0.0
511	1	1.5	2.0	13.8	0.14492753623188406
512	1	0.6	1.26	7.56	0.16666666666666669
513	1	1.58	1.76	10.56	0.16666666666666666
514	6	1.13	0.0	11.3	0.0
515	2	1.4	1.0	12.8	0.078125
516	1	0.03	0.66	3.96	0.16666666666666669
517	1	0.6	2.0	8.8	0.22727272727272727
518	2	3.87	4.08	20.38	0.20019627085377822
519	1	1.0	0.0	9.8	0.0
520	1	1.5	0.0	8.8	0.0
521	1	1.7	2.55	12.85	0.19844357976653695
522	2	1.7	3.3	16.6	0.19879518072289154
523	1	1.3	1.75	10.55	0.16587677725118483
524	1	4.5	3.96	23.76	0.16666666666666666
525	1	1.05	2.32	11.62	0.19965576592082615
526	1	1.81	2.0	21.3	0.09389671361502347
527	6	4.07	5.2	26.0	0.2
528	1	1.11	1.86	11.16	0.16666666666666669
529	1	1.2	0.0	9.3	0.0
530	1	0.8	1.5	8.3	0.18072289156626503
531	1	0.3	0.0	4.3	0.0
532	3	2.0	1.0	13.8	0.07246376811594203
533	1	1.92	4.74	20.54	0.23076923076923078
534	1	1.0	1.86	11.16	0.16666666666666669
535	2	1.08	0.0	7.3	0.0
536	1	0.6	0.0	5.8	0.0
537	1	1.2	0.0	10.3	0.0
538	5	0.92	0.0	8.3	0.0
539	1	1.2	1.75	10.55	0.16587677725118483
540	1	3.95	0.0	14.8	0.0
541	1	1.4	1.25	11.55	0.10822510822510822
542	1	8.5	5.15	30.95	0.16639741518578355
543	1	3.04	5.0	50.05	0.0999000999000999
544	1	1.2	1.95	11.75	0.16595744680851063
545	1	0.5	1.05	6.35	0.16535433070866143
546	5	0.58	1.7	8.5	0.19999999999999998
547	1	2.5	1.5	14.3	0.1048951048951049
548	1	4.21	0.0	17.3	0.0
549	1	0.6	1.0	7.8	0.12820512820512822
550	1	5.92	4.96	29.76	0.16666666666666666
551	4	7.6	5.66	33.96	0.16666666666666666
552	1	1.4	1.75	10.55	0.16587677725118483
553	1	3.0	3.05	18.35	0.1662125340599455
554	1	0.48	0.96	5.76	0.16666666666666666
555	2	6.0	6.43	38.61	0.16653716653716652
556	2	0.79	1.89	8.19	0.23076923076923078
557	1	12.3	7.95	47.75	0.16649214659685865
558	1	1.78	0.0	13.8	0.0
559	2	2.4	3.05	18.35	0.1662125340599455
560	1	0.62	0.0	8.8	0.0
561	1	1.0	0.0	8.8	0.0
562	1	1.1	0.0	7.8	0.0
563	1	2.6	3.55	17.85	0.19887955182072828
564	1	8.1	1.0	25.3	0.039525691699604744
565	1	1.7	0.0	10.3	0.0
566	1	1.3	1.0	11.8	0.0847457627118644
567	1	1.49	0.0	9.3	0.0
568	1	3.7	4.15	24.95	0.16633266533066135
569	1	1.69	2.06	12.36	0.16666666666666669
570	1	1.47	2.36	14.16	0.16666666666666666
571	1	1.0	1.65	9.95	0.1658291457286432
572	1	2.3	2.76	16.56	0.16666666666666666
573	1	0.75	0.0	5.3	0.0
574	1	2.0	1.25	11.55	0.10822510822510822
575	1	0.75	1.16	6.96	0.16666666666666666
576	2	0.5	0.0	4.8	0.0
577	1	1.2	0.0	10.3	0.0
578	1	6.22	5.06	30.36	0.16666666666666666
579	2	6.4	6.35	38.19	0.1662738936894475
580	1	1.29	1.0	14.3	0.06993006993006992
581	1	3.34	3.66	21.96	0.16666666666666666
582	1	1.0	0.0	9.8	0.0
583	1	3.79	3.0	24.3	0.12345679012345678
584	1	0.7	1.85	8.15	0.22699386503067484
585	1	5.43	7.29	31.59	0.23076923076923078
586	1	1.28	0.0	10.3	0.0
587	1	2.03	1.5	13.3	0.11278195488721804
588	2	1.61	2.32	11.62	0.19965576592082615
589	4	3.22	0.0	19.3	0.0
590	1	6.4	5.0	30.3	0.16501650165016502
591	1	1.2	1.85	11.15	0.16591928251121077
592	1	3.32	1.0	19.8	0.050505050505050504
593	1	2.01	2.58	12.88	0.20031055900621117
594	1	0.6	1.16	6.96	0.16666666666666666
595	1	1.46	2.46	14.76	0.16666666666666666
596	1	0.7	1.55	7.85	0.19745222929936307
597	1	0.3	0.0	4.3	0.0
598	5	0.9	0.2	8.0	0.025
599	1	8.33	5.16	41.0	0.12585365853658537
600	1	1.1	2.0	9.8	0.2040816326530612
601	1	0.33	0.76	4.56	0.16666666666666669
